Accession ID	Virus name	Location	Collection date	Originating lab	Submitting lab	Authors
EPI_ISL_413019	hCoV-19/Switzerland/1000477102/2020	Europe / Switzerland / Zurich	2020-02-26	"Department of Internal Medicine, Triemli Hospital"	"Institute of Medical Virology, University of Zurich"	"Stefan Schmutz, Maryam Zaheri, Verena Kufner, Patrick Redli, Fiona Steiner, Jon Huder, Riccarda Capaul, Andrea Zbinden, Jrg Bni, Michael Huber, Gerhard Eich, Alexandra Trkola"
EPI_ISL_413490	hCoV-19/New Zealand/01/2020	Oceania / New Zealand / Auckland	2020-02-27	Auckland Hospital	Institute of Environmental Science and Research (ESR)	"Matt Storey, Xiaoyun Ren, Gary McAuliffe, Sally Roberts, Matthew Blakiston, Erasmus Smit, Lauren Jelly, Joep de Ligt"
EPI_ISL_406716	hCoV-19/China/WHU01/2020	Asia / China / Hubei / Wuhan	2020-01-02	unknown	"State Key Laboratory of Virology, Wuhan University"	"Chen,L., Liu,W., Zhang,Q., Xu,K., Ye,G., Wu,W., Sun,Z., Liu,F., Wu,K., Mei,Y., Zhang,W., Chen,Y., Li,Y., Shi,M., Lan,K. and Liu,Y."
EPI_ISL_406717	hCoV-19/China/WHU02/2020	Asia / China / Hubei / Wuhan	2020-01-02	unknown	"State Key Laboratory of Virology, Wuhan University"	"Chen,L., Liu,W., Zhang,Q., Xu,K., Ye,G., Wu,W., Sun,Z., Liu,F., Wu,K., Mei,Y., Zhang,W., Chen,Y., Li,Y., Shi,M., Lan,K. and Liu,Y."
EPI_ISL_413014	hCoV-19/Canada/ON-PHL2445/2020	North America / Canada / Ontario	2020-01-25	Public Health Ontario Laboratory 	Ontario Agency for Health Protection and Promotion (OAHPP)	"Alireza Eshaghi, Samir N Patel, Jonathan B Gubbay, Vanessa G Allen, Christine Frantz, Aimin Li, Sandeep Nagra"
EPI_ISL_413015	hCoV-19/Canada/ON-VIDO-01/2020	North America / Canada / Ontario	2020-01-23	Public Health Ontario Laboratory	National Microbiology Laboratory	"Shari Tyson, Anna Majer, Erika Landry, Morag Graham, Grace Seo, Philip Mabon, Natalie Knox, Adrian Zetner, Samira Mubareka, Rob Kozak, Jocelyne Lew, Darryl Falzarano, Gerdts Volker, Jonathan Gubbay, Stephanie Booth, Guillaume Poliquin, Tom Graefenhan, Matthew Gilmour, Nathalie Bastien, Yan Li, Timothy Booth"
EPI_ISL_413016	hCoV-19/Brazil/SPBR-02/2020	South America / Brazil / Sao Paulo / Sao Paulo	2020-02-28	Hospital Israelita Albert Einstein	"Instituto Adolfo Lutz, Interdisciplinary Procedures Center, Strategic Laboratory"	"Jaqueline Goes de Jesus, Claudio Tavares Sacchi, Fabiana Cristina Pereira dos Santos, Ingra Morales Claro, Flvia Cristina da Silva Sales, Claudia Regina Gonalves, Joshua Quick, Maria do Carmo Sampaio Tavares Timenetsky, Nicholas James Loman, Andrew Rambaut, Ester Cerdeira Sabino, Nuno Rodrigues Faria"
EPI_ISL_413017	hCoV-19/South Korea/KUMC01/2020	Asia / South Korea	2020-02-06	"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University"	"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University"	"Changmin Kang, Joon-Yong Bae, Jungmin Lee, Heedo Park, Juyoung Cho, Jeonghun Kim, Gee eun Lee, Cui Chunguang, Kyeong-ryeol Shin, Dong Min Kim, Jin Il Kim, Man-Seong Park"
EPI_ISL_413018	hCoV-19/South Korea/KUMC02/2020	Asia / South Korea	2020-02-06	"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University"	"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University"	"Changmin Kang, Joon-Yong Bae, Jungmin Lee, Heedo Park, Juyoung Cho, Jeonghun Kim, Gee eun Lee, Cui Chunguang, Kyeong-ryeol Shin, Dong Min Kim, Jin Il Kim, Man-Seong Park"
EPI_ISL_411219	hCoV-19/France/IDF0386-islP1/2020	Europe / France / Ile-de-France / Paris	2020-01-28	"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris "	"Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon"	"Olivier Terrier, Aurlien Traversier, Julien Fouret, Yazdan Yazdanpanah, Xavier Lescure, Alexandre Gaymard, Bruno Lina, Manuel Rosa-Calatrava"
EPI_ISL_411218	hCoV-19/France/IDF0571/2020	Europe / France / Ile-de-France / Paris	2020-02-02	"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris"	"Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon"	"Olivier Terrier, Aurlien Traversier, Julien Fouret, Yazdan Yazdanpanah, Xavier Lescure, Catherine Legras-Lachuer, Alexandre Gaymard, Bruno Lina, Manuel Rosa-Calatrava"
EPI_ISL_407193	hCoV-19/South Korea/KCDC03/2020	Asia / South Korea / Gyeonggi-do	2020-01-25	Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases	Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases	"Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, SangHee Woo, Hye-Joon Jo, Sehee Park, Heui Man Kim, Myung Guk Han"
EPI_ISL_412116	hCoV-19/England/09c/2020	Europe / United Kingdom / England	2020-02-09	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"	"Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon"
